id,severity,category,file,line_or_location,description,why_it_matters,recommended_fix,estimated_effort_min,changes_empirical_results,requires_rerun
P2-10,P2,data,data/processed/model_improvement/regime_constraints/,(multiple files),"Two generations of weight parquets coexist (older pre-correction Apr-10, newer Apr-12). Older 5 files are no longer regenerated.","Confusing co-existence of pre- and post-correction artefacts; risk of someone loading the wrong file.","Move pre-correction files to data/processed/model_improvement/regime_constraints/_archive/.",10,no,no
P2-11,P2,reports,reports/final/csv_output_audit.md,(section 4),"tc_aware_cvar/performance.csv mixes 'full-history grid' (n=807) and panel-B grid (n=808) Static CVaR without a column scope flag","Reader risk of confusing the 0.553/0.530 scopes.","Add a 'scope' column to performance.csv ('full_history' / 'label_intersected').",15,yes (rebalance grid changes weights),partial
P2-12,P2,scripts,scripts/14_tc_aware_cvar_experiment.py,59,"EVAL_START = pd.Timestamp('2010-10-15') is hard-coded","Mismatches if HMM warm-up window changes.","Anchor to first valid label date dynamically (lab.dropna().index.min() + MIN_HISTORY).",10,no,no
P2-13,P2,scripts,scripts/07_panel_b_regime_oos.py,inline weighted CVaR LP,"Inline weighted-CVaR LP duplicates src/optimization/cvar.weighted_cvar_weights; the inline version is canonical, library is dead","Risk of library version being called and producing different results.","Remove the unused library version OR refactor scripts to use the library version.",20,no,no
P2-14,P2,reports,scripts/15_regime_constraints_experiment.py,(asset universe),"Asset universe is hard-coded by string equality. If returns parquet renames a column the script silently treats that asset as 'neither equity nor defensive'.","Future regression risk.","Add an assert that EQUITY_ASSETS ∪ REAL_ESTATE ∪ DEFENSIVE_ASSETS equals the risky-asset column set.",10,no,no
P2-15,P2,reports,reports/final/regime_constraints/regime_average_weights.csv,(missing),"Only 4 strategies (rc_baseline, rc_zew, static_cvar). Naive regime_cvar_A and weighted_cvar average weights are not exported.","Cannot show per-regime weights for naive regime variants from this CSV.","Extend script 15 to also export naive variants.",15,no,no
P2-16,P2,paper,paper/build_paper_v8.js,(throughout),"All Table values are hard-coded JS literals; no CSV ingestion","Every rerun of any backtest requires hand-editing the JS source.","Refactor to load CSV via fs.readFileSync + papaparse OR build via a Python wrapper that emits a values.json read by build_paper_v8.js.",240,no,no
P3-01,P3,methodology,requirements.txt,21,"Stale comment '(Diebold-Mariano, etc.)' on statsmodels line; methodology no longer uses DM","Misleading comment.","Update to 'HAC/Newey-West regressions, etc.' OR remove statsmodels entirely (it is not imported by any active script).",2,no,no
P3-02,P3,docs,reports/regimes/date_pipeline_audit.md + window_recovery_options.md,(top),"Reference MIN_TRAIN_OBS=260 as active; this is historical now (active is 156)","Reader could mistake these for current methodology.","Add a header note: 'Historical audit; canonical MIN_TRAIN is now 156 (see docs/METHODOLOGY.md).'",5,no,no
P3-03,P3,reproducibility,requirements.txt,29,"hmmlearn version range >=0.3,<1 — RNG behaviour could change across minor versions","Bit-exact reproducibility risk.","Pin exact hmmlearn version (e.g. ==0.3.x).",2,no,no
P3-04,P3,reproducibility,(repo root),"No Dockerfile, no environment.yml, no Makefile","Setup is documented narratively only.","Add a minimal Dockerfile or conda environment.yml for one-command setup.",60,no,no
P3-05,P3,scripts,scripts/02/10/11,"Magic constants (MIN_TRAIN_OBS, N_STATES, VIX_IDX, WALK_FORWARD_STEP) are duplicated","Drift risk if any of these changes.","Create src/models/hmm_config.py with shared constants.",30,no,no
P3-06,P3,scripts,scripts/06/07/10/11/14/15/17/18,"Helper functions _port, _weekly_to, _eq_drift_to, _apply_tc, compute_metrics duplicated 7-9x","Drift risk; code duplication.","Create src/evaluation/portfolio.py with shared helpers.",90,no (functions are byte-identical across scripts),no
P3-07,P3,scripts,scripts/12_rebalance_frequency_experiment.py,(docstring),"freq=1 excluded due to 45s sandbox timeout","Mild reproducibility gap.","Document that freq=1 requires a non-sandbox runtime.",2,no,no
P3-08,P3,data,data/processed/regime_dataset.parquet,(file),"Orphan parquet not produced by any active script; not used by any active script","Confusing presence in active dir.","Move to data/processed/archive/ OR add to ACTIVE_OUTPUTS.md as a static input.",5,no,no
P3-09,P3,scripts,scripts/01_validate_and_build_dataset.py,(implicit),"Reads raw fixed_income xlsx files (including rejected BBG/ECB) and writes their metadata to metadata.yaml","Metadata yaml contains rejected files.","Filter discover_data_files to exclude data/raw/fixed_income/ from regime/investable validation.",15,no,no
P3-10,P3,docs,docs/RUN_ORDER.md,(Stage 7),"Stage 7 'can be run in any order' is not literally true — scripts 12, 13, 14, 15 depend on script 11 (ZEW-swap labels)","Misleading for reproducer.","Add dependency note: 'scripts 12-15 read both baseline labels (from script 02) and ZEW-swap labels (from script 11)'.",5,no,no
P3-11,P3,reports,reports/fi_expanded/series_coverage_fi_expanded.csv,(Missing_pct column),"Missing_pct column unit is fractional (0.073 for 0.073%) but other panel CSVs use different units","Cosmetic inconsistency.","Standardise to either fractional or percentage with explicit unit column.",5,no,no
P3-12,P3,reports,paper/tables/appendix_f_descriptive_stats.csv,(all cells),"All cells stored as string-formatted percentages ('6.42'), not numeric","Awkward for downstream processing.","Save numeric, format only at display time.",10,no,no
P3-13,P3,scripts,scripts/16_fi_expanded_universe.py,57-65,"FI_FILES and FI_RENAMES dicts are duplicative (every key maps to itself)","Code duplication.","Collapse to a single dict.",5,no,no
P3-14,P3,scripts,scripts/13_turnover_smoothing_experiment.py,86,"Only gamma=0.5 tested","Sparse grid for sensitivity check.","Add gamma=0.7 or 0.3 to confirm robustness.",30,maybe,partial
P3-15,P3,scripts,scripts/08_panel_statistical_tests.py,(all),"Uses Student-t df=n-1 for HAC tests; asymptotic normal would be cleaner for n>>30","Conservative; negligible numerical difference.","Switch to scipy.stats.norm for HAC p-values.",5,no,no
P3-16,P3,scripts,scripts/11_zew_swap_experiment.py,(throughout),"Statistical-test routines (Newey-West, block bootstrap) duplicated inline","Code duplication.","Refactor into src/evaluation/.",30,no,no
P3-17,P3,paper,paper/notes/paper_draft_JF_style_v8_FINAL_FOR_FEEDBACK_notes.md,(Known issues),"P2.8 (HAC arithmetic/geometric explanation) and P2.11 (Fig 3 reference line) are 'Known Remaining Issues' deferred for journal submission","Pre-existing documentation; not a new finding.","Address before journal submission, not before professor feedback.",30,no,no
P3-18,P3,reports,reports/regimes/hmm_regime_summary.md,(unchecked),"Brief regime characterisation file; not audited deeply here","Low risk.","Spot-check for staleness.",10,no,no
P3-19,P3,scripts,scripts/01_validate_and_build_dataset.py,(via reporting),"data_validation_summary.md is written to reports/data/ via the data pipeline but is also referenced from reports/archive/. Two homes for the same file name.","Filename ambiguity if reports/data_validation_summary.md is later regenerated.","Standardise to one location.",10,no,no
P3-20,P3,paper,paper/figures/figure_1_regime_timeline.png,(file),"Byte-identical copy of reports/figures/full_sample_regime_timeline.png; copy is manual","Two paths for the same artefact.","Symlink or document the copy step in RUN_ORDER.",5,no,no
P3-21,P3,docs,docs/RUN_ORDER.md,(missing),"No explicit note about scripts/07_figures/generate_paper_figures.py hardcoded path","User runs it and gets confused.","Add a warning under Stage 6 about the path edit needed.",5,no,no
P4-01,P4,future,(general),"Project uses simple half-abs-sum turnover; some papers use full turnover. Conventions match throughout but a brief footnote could clarify.",,Add footnote in METHODOLOGY.md,5,no,no
P4-02,P4,future,(general),"Project uses Newey-West with Bartlett kernel; some referees prefer the Quadratic Spectral kernel for HAC",,Optional robustness check,30,no,no
P4-03,P4,future,scripts/02_hmm_walkforward_156.py,(checkpoint),"Resume validation guard 'label_switched is True' is unconditional; never invalidates",,Cosmetic; not a real risk,5,no,no
P4-04,P4,future,src/models/hmm.py,(characterise_regimes),"characterise_regimes heuristic for ACUTE_STRESS uses delta_US_10Y_Yield_1w which is NOT in the active 8-feature set",,Unreachable branch in heuristic; document or remove,5,no,no
P4-05,P4,future,(repo root),"No LICENSE file",,Add LICENSE before public release,5,no,no
